Timestamp,kW orig,hour,yyyymm,kW
2024-08-13 09:00:00,2.6139,9,2024-08,2.6139
2024-08-13 10:00:00,3.4178,10,2024-08,3.4178
2024-08-13 11:00:00,2.5023,11,2024-08,2.5023
2024-08-13 12:00:00,2.1419,12,2024-08,1.2395
2024-08-13 13:00:00,2.4417,13,2024-08,0.9646
2024-08-13 14:00:00,2.0167,14,2024-08,0.5684
2024-08-13 15:00:00,2.0224,15,2024-08,0.3438
2024-08-13 16:00:00,0.9025,16,2024-08,0.9025
2024-08-13 17:00:00,0.9201,17,2024-08,0.9201
2024-08-13 18:00:00,0.455,18,2024-08,0.455
2024-08-13 19:00:00,0.5333,19,2024-08,0.5333
2024-08-13 20:00:00,0.8128,20,2024-08,0.8128
2024-08-13 21:00:00,0.6709,21,2024-08,0.6709
2024-08-13 22:00:00,0.4724,22,2024-08,0.4724
2024-08-13 23:00:00,0.3806,23,2024-08,0.3806
2024-08-14 00:00:00,1.4855,0,2024-08,1.4855
2024-08-14 01:00:00,1.4488,1,2024-08,1.4488
2024-08-14 02:00:00,1.3334,2,2024-08,1.3334
2024-08-14 03:00:00,1.0631,3,2024-08,1.0631
2024-08-14 04:00:00,0.303,4,2024-08,0.303
2024-08-14 05:00:00,0.7705,5,2024-08,0.7705
2024-08-14 06:00:00,1.0601,6,2024-08,1.0601
2024-08-14 07:00:00,1.2124,7,2024-08,1.2124
2024-08-14 08:00:00,1.2608,8,2024-08,1.2608
2024-08-14 09:00:00,1.719,9,2024-08,1.719
2024-08-14 10:00:00,2.6334,10,2024-08,2.6334
2024-08-14 11:00:00,1.6446,11,2024-08,1.6446
2024-08-14 12:00:00,0.4341,12,2024-08,8.8846
2024-08-14 13:00:00,0.3585,13,2024-08,8.7345
2024-08-14 14:00:00,0.4533,14,2024-08,3.5167
2024-08-14 15:00:00,0.3248,15,2024-08,0.5052
2024-08-14 16:00:00,1.2216,16,2024-08,1.2216
2024-08-14 17:00:00,1.2838,17,2024-08,1.2838
2024-08-14 18:00:00,0.8708,18,2024-08,0.8708
2024-08-14 19:00:00,0.9773,19,2024-08,0.9773
2024-08-14 20:00:00,0.6525,20,2024-08,0.6525
2024-08-14 21:00:00,0.4587,21,2024-08,0.4587
2024-08-14 22:00:00,0.4464,22,2024-08,0.4464
2024-08-14 23:00:00,0.6587,23,2024-08,0.6587
2024-08-15 00:00:00,1.4862,0,2024-08,1.4862
