Timestamp,demand,season,period,period_type,solar_efficiency,month,hour,day,yyyymm,ymd
2024-08-06 15:00:00,0.4594,summer,summer part peak,part peak,1.0,8,15,6,2024-08,2024-08-06
2024-08-06 16:00:00,0.9939,summer,summer peak,peak,1.0,8,16,6,2024-08,2024-08-06
2024-08-06 17:00:00,0.8776,summer,summer peak,peak,1.0,8,17,6,2024-08,2024-08-06
2024-08-06 18:00:00,0.4936,summer,summer peak,peak,1.0,8,18,6,2024-08,2024-08-06
2024-08-06 19:00:00,0.4623,summer,summer peak,peak,1.0,8,19,6,2024-08,2024-08-06
2024-08-06 20:00:00,0.5351,summer,summer peak,peak,1.0,8,20,6,2024-08,2024-08-06
2024-08-06 21:00:00,0.4332,summer,summer part peak,part peak,1.0,8,21,6,2024-08,2024-08-06
2024-08-06 22:00:00,0.294,summer,summer part peak,part peak,1.0,8,22,6,2024-08,2024-08-06
2024-08-06 23:00:00,0.3477,summer,summer part peak,part peak,1.0,8,23,6,2024-08,2024-08-06
2024-08-07 00:00:00,1.1733,summer,summer off peak,off peak,1.0,8,0,7,2024-08,2024-08-07
2024-08-07 01:00:00,1.1385,summer,summer off peak,off peak,1.0,8,1,7,2024-08,2024-08-07
2024-08-07 02:00:00,1.243,summer,summer off peak,off peak,1.0,8,2,7,2024-08,2024-08-07
2024-08-07 03:00:00,0.9635,summer,summer off peak,off peak,1.0,8,3,7,2024-08,2024-08-07
2024-08-07 04:00:00,0.3166,summer,summer off peak,off peak,1.0,8,4,7,2024-08,2024-08-07
2024-08-07 05:00:00,0.6528,summer,summer off peak,off peak,1.0,8,5,7,2024-08,2024-08-07
2024-08-07 06:00:00,1.0623,summer,summer off peak,off peak,1.0,8,6,7,2024-08,2024-08-07
2024-08-07 07:00:00,1.1134,summer,summer off peak,off peak,1.0,8,7,7,2024-08,2024-08-07
2024-08-07 08:00:00,1.0642,summer,summer off peak,off peak,1.0,8,8,7,2024-08,2024-08-07
2024-08-07 09:00:00,1.1009,summer,summer off peak,off peak,1.0,8,9,7,2024-08,2024-08-07
2024-08-07 10:00:00,1.9612,summer,summer off peak,off peak,1.0,8,10,7,2024-08,2024-08-07
2024-08-07 11:00:00,1.0341,summer,summer off peak,off peak,1.0,8,11,7,2024-08,2024-08-07
2024-08-07 12:00:00,0.7286,summer,summer off peak,off peak,1.0,8,12,7,2024-08,2024-08-07
2024-08-07 13:00:00,0.6354,summer,summer off peak,off peak,1.0,8,13,7,2024-08,2024-08-07
2024-08-07 14:00:00,0.3081,summer,summer off peak,off peak,1.0,8,14,7,2024-08,2024-08-07
2024-08-07 15:00:00,0.4058,summer,summer part peak,part peak,1.0,8,15,7,2024-08,2024-08-07
2024-08-07 16:00:00,0.9726,summer,summer peak,peak,1.0,8,16,7,2024-08,2024-08-07
2024-08-07 17:00:00,0.9678,summer,summer peak,peak,1.0,8,17,7,2024-08,2024-08-07
2024-08-07 18:00:00,0.4787,summer,summer peak,peak,1.0,8,18,7,2024-08,2024-08-07
2024-08-07 19:00:00,0.5203,summer,summer peak,peak,1.0,8,19,7,2024-08,2024-08-07
2024-08-07 20:00:00,0.4766,summer,summer peak,peak,1.0,8,20,7,2024-08,2024-08-07
2024-08-07 21:00:00,0.3645,summer,summer part peak,part peak,1.0,8,21,7,2024-08,2024-08-07
2024-08-07 22:00:00,0.326,summer,summer part peak,part peak,1.0,8,22,7,2024-08,2024-08-07
2024-08-07 23:00:00,0.3668,summer,summer part peak,part peak,1.0,8,23,7,2024-08,2024-08-07
