month,year_month,to_grid,from_grid,generation net cost,generation credit applied,generation rollover credit,delivery net cost,delivery credit applied,delivery rollover credit,bonus credit applied,bonus rollover credit,grid cost,net cost,savings,cumulative savings,cumulative pge,cumulative net
10,2033-10-01,84.34046938872011,336.8738310059335,0.0,53.71903694827898,1444.387608759378,40.85695545837538,29.624446734895372,-3.552713678800501e-15,0.0,0.0,619.9579850439289,80.99666744360644,538.9613176003224,3909.203167205902,51591.056512998905,11049.893345793014
11,2033-11-01,17.954776219480348,559.5992908886451,0.0,90.88775119579574,1354.4929195332363,117.03697121444885,0.16133216407708062,1.6653345369377348e-16,0.0,0.0,599.5753059839615,173.7979027717365,425.77740321222495,4334.980570418127,52190.63181898287,11223.69124856475
12,2033-12-01,0.0,999.3283128400798,0.0,164.88714665206993,1189.6057728811663,209.4625319588897,0.0,1.6653345369377348e-16,0.0,0.0,655.4552076364822,299.03889750342495,356.41631013305727,4691.396880551183,52846.08702661935,11522.730146068176
1,2034-01-01,0.5852705228300512,936.9306097181496,0.0,160.0778876038318,1029.5556914798742,204.18951805580116,0.002305965859960679,-1.011083577973082e-14,0.0,0.0,710.6599974669566,291.9061557134416,418.753841753515,5110.150722304701,53556.74702408631,11814.636301781617
2,2034-02-01,5.506090644730929,693.2640142665873,0.0,117.99812501813292,911.7116223198523,151.0508741707625,0.007467320965503177,-7.0056807577323355e-15,0.0,0.0,580.0307047375422,219.85616946543723,360.174535272105,5470.325257576806,54136.77772882385,12034.492471247053
3,2034-03-01,36.434204784158695,851.0480743451737,0.0,143.09870545125506,769.2602223042709,185.25118557285353,0.06295908253687799,-4.2049697057677804e-15,0.0,0.0,770.8617351860227,266.3023464693976,504.55938871662505,5974.884646293431,54907.63946400987,12300.79481771645
4,2034-04-01,103.04996573646024,403.6048099132475,0.0,66.95932300681798,702.7785327294264,87.79993096647853,0.021721566319868657,-4.888450755302642e-15,0.0,0.0,631.2794495641522,134.1243261937529,497.1551233703993,6472.039769663832,55538.91891357402,12434.919143910203
5,2034-05-01,102.27846811324197,361.3610671009028,0.0,59.9094929272858,643.5991155218259,78.56973394618032,0.05838459855442579,-2.914335439641036e-16,0.0,0.0,651.7503241967324,121.61552678014414,530.1347974165883,7002.174567080423,56190.66923777076,12556.534670690347
6,2034-06-01,212.64642750275019,8.459959006616929,0.0,1.995822201498741,647.28271216499,0.0,1.8136996627496096,16.500173258328427,0.0,0.0,578.4929187105391,15.656590538618133,562.836328171921,7565.010895252344,56769.162156481296,12572.191261228965
7,2034-07-01,166.84847669808437,86.66873203456647,0.0,22.62223955366502,686.3767717315648,0.0,19.671362196891735,9.857722092173574,0.0,0.0,662.3351821254889,21.726494703274312,640.6086874222146,8205.61958267456,57431.49733860679,12593.91775593224
8,2034-08-01,287.8925881327545,207.55767167846466,0.0,57.07243365099919,1054.0476329965722,0.0,48.4919314446976,37.330970432946486,0.0,0.0,647.9310921717015,31.108872789465916,616.8222193822356,8822.441802056797,58079.42843077849,12625.026628721705
9,2034-09-01,82.36211466560901,110.82241358880275,0.0,26.74330365837413,1060.3196887770096,0.0,24.067509059896892,22.814373347955204,0.0,0.0,665.5381078904699,23.60109938739899,641.9370085030708,9464.378810559865,58744.96653866896,12648.627728109104
10,2034-10-01,87.31096042485474,341.57355153142896,0.0,56.628951297362676,1008.0063467892558,44.53546062939132,29.787116279703042,-3.552713678800501e-15,0.0,0.0,644.756304445686,86.04551369256978,558.7107907531163,10023.089601312982,59389.72284311464,12734.673241801675
11,2034-11-01,21.912307463936138,541.7338130614651,0.0,90.90677491249744,918.4815735706543,117.68164660650325,0.27034472591159897,1.942890293094024e-15,0.0,0.0,622.5278699610526,174.72644798526576,447.80142197578687,10470.891023288772,60012.25071307569,12909.39968978694
12,2034-12-01,0.0,1007.5132837437609,0.0,172.59985192840483,745.8817216422494,219.60905862996134,0.0,1.942890293094024e-15,0.0,0.0,681.6734159419416,312.8037270817624,368.86968886017917,10839.76071214895,60693.924129017636,13222.203416868702
1,2035-01-01,0.22976322627977974,938.8024316488181,0.0,166.827391747755,579.065648031021,212.7837781466602,0.001001767666593878,-1.2095359436248287e-14,0.0,0.0,739.0863973656349,303.5601673136757,435.52623005195915,11275.28694220091,61433.010526383274,13525.763584182378
2,2035-02-01,5.213793105915663,695.2331661892846,0.0,123.07949435819933,456.1322251315736,157.5403116053599,0.00750417241098944,5.7419347054832315e-15,0.0,0.0,603.2319329270439,228.6567608037815,374.5751721232624,11649.862114324169,62036.24245931032,13754.42034498616
3,2035-03-01,35.582345565022045,853.6149944237931,0.0,149.2797721392423,307.5968485308973,193.23111038087643,0.07747474736081017,4.3021142204224816e-15,0.0,0.0,801.6962045934636,277.1315092674162,524.5646953260473,12174.426809650213,62837.938663903784,14031.551854253576
4,2035-04-01,101.16374588151436,405.8102290535945,0.0,70.01890350883356,238.0877432043768,91.81256450782858,0.021059858068866788,-5.748873599387139e-15,0.0,0.0,656.5306275467183,139.5679481839373,516.962679362781,12691.389489012996,63494.4692914505,14171.119802437513
5,2035-05-01,100.2297866699833,363.9449279856936,0.0,62.75138191993405,175.8823177027,82.31693876333782,0.04101246210639431,-6.439293542825908e-15,0.0,0.0,677.8203371646017,126.69312225912336,551.1272149054784,13242.516703918474,64172.2896286151,14297.812924696636
6,2035-06-01,209.0069358447391,9.275900558590473,0.0,2.2758467493305234,178.7260349230071,0.0,2.0681714426419906,18.386020149529426,0.0,0.0,601.6326354589607,15.748713708983258,585.8839217499775,13828.400625668452,64773.92226407406,14313.56163840562
7,2035-07-01,276.8794075456434,194.0706987498072,0.0,54.16750258193397,266.8314287050561,0.0,46.53648080729729,3.691071949493157,0.0,0.0,688.8285894105086,30.664613020390156,658.1639763901185,14486.56460205857,65462.75085348457,14344.22625142601
8,2035-08-01,283.3861963231008,210.49438518005508,0.0,60.06411587748732,570.9949080654686,0.0,51.092826788165894,31.46502283132679,0.0,0.0,673.8483358585695,31.99026750587091,641.8580683526986,15128.422670411266,66136.59918934313,14376.21651893188
